0,1,2,3,4,5,6,7,8,9
C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2026/03/13,04:05:02,507611794.0,,507611788.0
C,END OF REPORT,2884,,,,,,,
C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2026/03/12,04:05:01,507451961.0,,507451955.0
C,END OF REPORT,2884,,,,,,,
C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2026/03/10,04:05:02,507140829.0,,507140823.0
C,END OF REPORT,2884,,,,,,,
C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2026/03/11,04:05:03,507292741.0,,507292735.0
C,END OF REPORT,2884,,,,,,,
C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2026/03/15,04:05:02,507927458.0,,507927452.0
C,END OF REPORT,2884,,,,,,,
C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2026/03/14,04:05:02,507774234.0,,507774228.0
C,END OF REPORT,2884,,,,,,,
C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2026/03/16,04:05:03,508079305.0,,508079299.0
C,END OF REPORT,2884,,,,,,,
C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2026/03/09,04:05:02,506989736.0,,506989730.0
C,END OF REPORT,2884,,,,,,,
